further-education-college-uk	name	region	start-date	end-date
109	Herefordshire, Ludlow and North Shropshire College	further-education-college-region-uk:1	2018-11-01	
168	North Shropshire College	further-education-college-region-uk:1		2018-11-01
2	Accrington and Rossendale College	further-education-college-region-uk:1		2018-11-20
29	Bracknell and Wokingham College	further-education-college-region-uk:1		2019-01-10
254	Wiltshire College and University Centre	further-education-college-region-uk:1	2019-07-19	
76	EKC Group	further-education-college-region-uk:1	2018-08-01	
205	Solihull College & University Centre	further-education-college-region-uk:1	2018-10-01	
69	DCG	further-education-college-region-uk:1	2018-11-12	
196	Unified Seevic Palmer's College (USP)	further-education-college-region-uk:1	2018-11-12	
313	The Northern School of Art	further-education-college-region-uk:1	2018-09-01	
